crunchbase_Organization Name,crunchbase_IPO Status,crunchbase_Industries,crunchbase_Number of Employees,crunchbase_Headquarters Location,crunchbase_CB Rank (Company),crunchbase_Similar Companies,crunchbase_Acquisition Type,crunchbase_Price (in USD),crunchbase_Number of Investors,crunchbase_Number of Lead Investors,crunchbase_Top 5 Investors,crunchbase_Total Funding Amount (in USD),crunchbase_Last Equity Funding Type,crunchbase_Last Equity Funding Amount (in USD),crunchbase_Last Funding Amount (in USD),crunchbase_Funding Status,crunchbase_Number of Funding Rounds,crunchbase_Founders,crunchbase_Number of Founders,crunchbase_Exit Date,crunchbase_Founded Date,crunchbase_Operating Status,crunchbase_Estimated Revenue Range,crunchbase_Postal Code,anagrafica_Ragione sociale,anagrafica_Provincia,anagrafica_Indirizzo sede legale - Codice postale,anagrafica_Indirizzo sede legale - Regione,anagrafica_Sede operativa,anagrafica_Sede operativa - Provincia,anagrafica_Sede operativa - Codice postale,anagrafica_Sede operativa - Regione - Regione,"anagrafica_ATECO 2007
codice",anagrafica_Anno di costituzione,anagrafica_Fondazione,anagrafica_Stato giuridico,anagrafica_Forma giuridica
SERPICO,Private,"Construction, Industrial Engineering, Project Management",,"Naples, Campania, Italy","2,544,219",10.0,,,,,,,,,,,,,,,2019-01-01,Active,,80123,SFERICO S.R.L.,Roma,124.0,Lazio,,,,,631119.0,13/05/2024,,Attiva,S.R.L.
Symbiagro,Private,"Agriculture, Biotechnology, Nutrition, Organic",1-10,"Roncadelle, Veneto, Italy","527,575",15.0,,,,,,,,,,,,,,,2018-01-01,Active,$1M to $10M,25030,SYMBIA S.R.L.,Roma,156.0,Lazio,,,,,620100.0,30/11/2023,,Attiva,S.R.L.
Facilepark,Private,"Information Technology, Mobile Apps, Software",1-10,"Rome, Lazio, Italy","3,147,544",9.0,,,,,,,,,,,,,,,2020-01-01,Active,Less than $1M,,FACILEPAY S.R.L.,Roma,135.0,Lazio,,,,,620100.0,26/01/2023,,Attiva,S.R.L.
Osense,Private,"Information Technology, Internet, Software",11-50,"Milano, Lombardia, Italy","242,273",10.0,,,,,,,,,,,,,,,2021-01-01,Active,,20136,AEROSENSE S.R.L.,Reggio nell'Emilia,42124.0,Emilia-Romagna,,,,,620100.0,01/08/2024,,Attiva,S.R.L.
Mahister,Private,"Apps, Catering, Restaurants",1-10,"Florence, Toscana, Italy","2,558,873",11.0,,,,,,,,,,,,,,,2018-01-01,Active,,50100,MAGISTER S.R.L.,Reggio nell'Emilia,42015.0,Emilia-Romagna,,,,,620100.0,24/04/2024,,Attiva,S.R.L.
Reviway,Private,"Construction, GreenTech, Infrastructure, Machinery Manufacturing, Smart Cities",1-10,"Reggio Nell Emilia, Emilia-Romagna, Italy","132,328",,,,1.0,1.0,Techstars,120000.0,Pre-Seed,120000.0,120000.0,Seed,1.0,Firas Bunni,1.0,,2020-01-01,Active,,,REVIWAY SRL,Reggio nell'Emilia,42122.0,Emilia-Romagna,,,,,289209.0,15/12/2023,,Attiva,S.R.L.
Cowork,Private,"Document Management, Logistics, Outsourcing, Packaging Services",501-1000,"Leini, Piemonte, Italy","2,480,408",10.0,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,10040,GOWORK S.R.L.,Reggio di Calabria,89134.0,Calabria,,,,,749099.0,25/05/2017,,Attiva,S.R.L.
Heureca Group,Private,"Outsourcing, Retail, Trading Platform",1-10,"Milan, Lombardia, Italy","3,326,856",5.0,,,,,,,,,,,,,,,2020-01-01,Active,$1M to $10M,20121,HEUREKA SRL,Pavia,27100.0,Lombardia,,,,,711220.0,06/02/2024,,Attiva,S.R.L.
Syllog AI,Private,"Corporate Training, E-Learning, Generative AI",1-10,"Prato, Liguria, Italy","93,517",,,,3.0,2.0,"40Jemz Ventures, Mival Capital, Techaround VC",533158.0,Pre-Seed,533158.0,533158.0,Seed,1.0,,,,2023-01-01,Active,,,SYLLOG S.R.L.,Prato,59100.0,Toscana,,,,,620100.0,28/11/2023,,Attiva,S.R.L.
Fluid Wire Robotics,Private,"Industrial Automation, Machinery Manufacturing",1-10,"Pisa, Toscana, Italy","60,235",,,,4.0,2.0,"Scientifica Venture Capital, Pariter Partners, RoboIT, Deep Blue Ventures",2126044.0,Seed,1259367.0,1259367.0,Seed,2.0,"Francesco Damiani, Gianluigi Grandesso, Ivan Leonardis, Marco Bolignari, Marco Fontana",5.0,,2022-01-01,Active,,56123,FLUID WIRE ROBOTICS S.R.L.,Pisa,56123.0,Toscana,,,,,289920.0,06/06/2024,,Attiva,S.R.L.
I-Foria,Private,"Environmental Consulting, Recycling",1-10,"Pescara, Abruzzi, Italy","91,678",,,,2.0,2.0,"Tech4Planet, MITO Tech Ventures",1832681.0,Seed,1832681.0,1832681.0,Seed,1.0,,,,2023-01-01,Active,,,I-FORIA ITALIA S.R.L.,Pescara,65121.0,Abruzzo,,,,,749031.0,15/12/2023,,Attiva,S.R.L.
Seafrog technology,Private,"Biometrics, Information Technology, Web Development",1-10,"Milan, Lombardia, Italy","2,766,178",10.0,,,,,,,,,,,,,,,2018-01-01,Active,,20125,ERGON TECHNOLOGY SRL,Padova,35129.0,Veneto,,,,,620100.0,05/08/2024,,Attiva,S.R.L.
4 Spark,Private,"Artificial Intelligence (AI), Consulting, Software Engineering",1-10,"Rome, Lazio, Italy","3,332,203",9.0,,,,,,,,,,,,Riccardo Arciulo,1.0,,2020-01-01,Active,,146,SPARK S.R.L.,Padova,35013.0,Veneto,,,,,284100.0,08/07/2024,,Attiva,S.R.L.
Pods,Private,"Dating, Mobile Apps, Social Network",1-10,"Tremiti, Puglia, Italy","184,865",10.0,,,1.0,1.0,Enry's Island SpA,87003.0,Pre-Seed,87003.0,87003.0,Seed,1.0,,,,2022-01-01,Active,,,SPODS SRL,Piacenza,29122.0,Emilia-Romagna,,,,,620100.0,08/04/2024,,Attiva,S.R.L.
Wabalun,Private,"Tourism, Travel, Travel Agency",1-10,"Palermo, Sicilia, Italy","3,466,093",10.0,,,,,,,,,,,,,,,2020-01-01,Active,,,WABALUN S.R.L.,Palermo,90143.0,Sicilia,,,,,620100.0,27/11/2019,,Attiva,S.R.L.
Handy,Private,"Consulting, Customer Service, Software",1-10,"Bergamo, Lombardia, Italy","1,116,918",13.0,,,,,,,,,,,,,,,2020-01-01,Active,,24128,HANDY S.R.L.,Nuoro,8015.0,Sardegna,CORSO UMBERTO I 171,Nuoro,8015.0,SARDEGNA,620100.0,03/11/2021,,Attiva,S.R.L.
Praxidia,Private,"Analytics, Business Development, Consulting, Knowledge Management, Market Research",51-100,"Rome, Lazio, Italy","694,934",16.0,,,,,,,,,,,,,,,2018-01-01,Active,,,AXIDIA S.R.L.,Napoli,80133.0,Campania,,,,,702209.0,08/10/2024,,Attiva,S.R.L.
Flugantia,Private,"Industrial, Information Technology",1-10,"Napoli, Campania, Italy","2,270,587",11.0,,,,,,,,,,,,,,,2018-01-01,Active,,80124,FLUGANTIA LAB S.R.L.,Napoli,80013.0,Campania,,,,,721909.0,25/09/2024,,Attiva,S.R.L.
Tecnovision,Private,"Commercial, Electronics, GPS, Internet of Things, Security, Software",1-10,"Campi Bisenzio, Toscana, Italy","3,411,014",14.0,,,,,,,,,,,,,,,2018-06-01,Active,Less than $1M,50013,ECOVISION S.R.L.,Napoli,80030.0,Campania,,,,,620300.0,18/04/2024,,Attiva,S.R.L.
Acne Revolution,Private,"Artificial Intelligence (AI), B2C, Health Care",1-10,"Naples, Campania, Italy","746,533",1.0,,,,,,,,,,,,Riccardo Cassese,1.0,,2023-11-30,Active,,80078,ACNE REVOLUTION S.R.L.,Napoli,80078.0,Campania,,,,,862209.0,30/11/2023,,Attiva,S.R.L.
B&A Consulting,Private,"Information Technology, Professional Networking, Software, Web Design, Web Development",11-50,"Saronno, Lombardia, Italy","2,068,134",10.0,,,,,,,,,,,,,,,2019-01-01,Active,,,ADV CONSULTING S.R.L.,Napoli,80122.0,Campania,,,,,620100.0,20/10/2023,,Attiva,S.R.L.
Fitporn,Private,"Confectionery, Fast-Moving Consumer Goods, Food and Beverage, Nutrition, Snack Food",1-10,"Napoli, Campania, Italy","190,408",12.0,,,,,,,Pre-Seed,,,Seed,1.0,"Luca Barone, Paolo Barone, Raffaele Del Piano, Valentina Altobello",4.0,,2023-03-10,Active,,80143,FITPORN S.R.L.,Napoli,80143.0,Campania,,,,,479110.0,10/03/2023,,Attiva,S.R.L.
Themis,Private,"Industrial, Waste Management",11-50,"Legnano, Lombardia, Italy","1,241,677",7.0,,,,,,,,,,,,,,,2018-01-01,Active,$1M to $10M,20025,THEMIS S.R.L.S.,Napoli,80127.0,Campania,,,,,721909.0,28/04/2021,,Attiva,S.R.L. semplificata
Berry,Private,"Credit, Finance, Financial Services",1-10,"Milan, Lombardia, Italy","701,541",8.0,Acquisition,,,,,,,,,M&A,,Giovanni Bossi,1.0,2023-12-09,2019-08-01,Active,Less than $1M,20121,BERRY S.R.L.,Modena,41121.0,Emilia-Romagna,,,,,561030.0,19/02/2024,,Attiva,S.R.L.
Wall:out,Private,"EBooks, News, Publishing",11-50,"Genova, Liguria, Italy","3,679,568",,,,,,,,,,,,,,,,2020-01-01,Active,,16145,E-WALL S.R.L.,Mantova,46047.0,Lombardia,,,,,620100.0,31/01/2024,,Attiva,S.R.L.
3D Company,Private,"3D Printing, Manufacturing, Wholesale",1-10,"Turin, Piemonte, Italy","3,382,725",10.0,,,,,,,,,,,,,,,2020-01-01,Active,Less than $1M,10146,R3D S.R.L.,Milano,20123.0,Lombardia,,,,,620100.0,19/12/2024,,Attiva,S.R.L.
Startex,Private,"Artificial Intelligence (AI), Consulting, Finance, FinTech, Real Estate, Software",,"Milan, Lombardia, Italy","735,392",,,,,,,,,,,,,"Claudio Muca, Nicolò M. Joswig",2.0,,2024-01-01,Active,,,STARTEX S.R.L.,Milano,20122.0,Lombardia,,,,,620100.0,17/12/2024,,Attiva,S.R.L.
Beep Finance,Private,"Artificial Intelligence (AI), Big Data, Business Intelligence, FinTech",1-10,"Milan, Lombardia, Italy","216,331",10.0,,,,,,,,,,,,"Andrea Borio, Maria Vittoria Dalla Rosa Prati",2.0,,2024-11-19,Active,,20121,BEEP FINANCE S.R.L.,Milano,20121.0,Lombardia,,,,,620100.0,29/11/2024,,Attiva,S.R.L.
Fasto,Private,"Delivery, Food and Beverage, Mobile Apps",11-50,"Caserta, Campania, Italy","2,314,712",10.0,,,,,,,,,,,,,,,2020-01-01,Active,,81031,FASTO SRL,Milano,20143.0,Lombardia,,,,,620100.0,15/11/2024,,Attiva,S.R.L.
Digital Investment,Private,"Business Development, Leasing, Lending",1-10,"Modena, Emilia-Romagna, Italy","1,845,576",7.0,,,,,,,,,,,,,,,2021-01-01,Active,,41121,DIGITAL INVEST S.R.L.,Milano,20143.0,Lombardia,,,,,620100.0,24/10/2024,,Attiva,S.R.L.
YDUN,Private,"Fitness, Wellness",1-10,"Milan, Lombardia, Italy","39,402",,,,1.0,1.0,Limestone Capital AG,4132940.0,Pre-Seed,4132940.0,4132940.0,Seed,1.0,,,,2024-01-01,Active,,20131,YDUN S.R.L.,Milano,20133.0,Lombardia,,,,,620100.0,18/09/2024,,Attiva,S.R.L.
Twini,Private,"Artificial Intelligence (AI), E-Commerce Platforms, Sales, Software",1-10,"Milan, Lombardia, Italy","66,453",7.0,,,1.0,1.0,Techstars,120000.0,Pre-Seed,120000.0,120000.0,Seed,1.0,"Andrea Vitali, Davide Roli",2.0,,2024-08-01,Active,,20121,TWINI S.R.L.,Milano,20121.0,Lombardia,,,,,620100.0,01/08/2024,,Attiva,S.R.L.
Neuronova,Private,"Artificial Intelligence (AI), Consumer Electronics, Internet of Things, Semiconductor",1-10,"Milan, Lombardia, Italy","39,333",,,,2.0,2.0,"360 Capital, Tech4Planet",1568406.0,Pre-Seed,1568406.0,1568406.0,Seed,1.0,"Alessandro Milozzi, Marco Rasetto, Michele Mastella",3.0,,2024-01-01,Active,,,NEURONOVA S.R.L.,Milano,20133.0,Lombardia,,,,,721909.0,19/07/2024,,Attiva,S.R.L.
HOOMIE,Private,"Consumer Goods, E-Commerce, Handmade, Product Design",1-10,"Milan, Lombardia, Italy","2,282,504",15.0,,,,,,,,,,,,,,,2020-01-01,Active,Less than $1M,,HOMIE S.R.L.,Milano,20145.0,Lombardia,,,,,682001.0,12/07/2024,,Attiva,S.R.L.
Gravity,Private,"Advertising, Content, Graphic Design, Quality Assurance, UX Design, Web Design",1-10,"Milan, Lombardia, Italy","2,159,516",10.0,,,,,,,,,,,,,,,2019-08-05,Active,Less than $1M,20124,GRAVITY CO ITA SRL,Milano,20154.0,Lombardia,,,,,620100.0,21/06/2024,,Attiva,S.R.L.
Vocations,Private,Human Resources,1-10,"Gorgonzola, Lombardia, Italy","113,030",,,,1.0,1.0,Techstars,120000.0,Pre-Seed,120000.0,120000.0,Seed,1.0,,,,2024-06-10,Active,,20064,VOCATIONS S.R.L.,Milano,20064.0,Lombardia,,,,,620100.0,10/06/2024,,Attiva,S.R.L.
Normo,Private,"Artificial Intelligence (AI), SaaS",,"Milano, Lombardia, Italy","90,697",,,,3.0,,"B Heroes, Fabio Nalucci, Pertile Venture",262640.0,Seed,262640.0,262640.0,Seed,1.0,"Francesco Magro, Giovanni Roberto",2.0,,2024-01-01,Active,Less than $1M,,NORMO S.R.L.,Milano,20143.0,Lombardia,,,,,620100.0,05/06/2024,,Attiva,S.R.L.
UltraAI,Private,"Artificial Intelligence (AI), Health Care, Health Diagnostics",1-10,"Trento, Trentino-Alto Adige, Italy","432,044",8.0,,,,,,,,,,,,,,,2021-01-01,Active,,38121,ULTRA S.R.L.,Milano,20123.0,Lombardia,,,,,152010.0,05/06/2024,,Attiva,S.R.L.
PREFE,Private,,1-10,"Milan, Lombardia, Italy","3,613,876",,,,,,,,,,,,,,,,2024-06-07,Active,,20143,PREFE S.R.L.,Milano,20143.0,Lombardia,,,,,620100.0,07/06/2024,,Attiva,S.R.L.
YAM TECH,Private,"Mechanical Engineering, Robotics",1-10,"Palermo, Sicilia, Italy","2,924,570",3.0,,,,,,,,,,,,,,,2020-01-01,Active,,90141,AD TECH S.R.L.,Milano,20154.0,Lombardia,,,,,620100.0,30/05/2024,,Attiva,S.R.L.
LEVELS,Private,"Consulting, Document Management, Generative AI, SaaS, Software",1-10,"Milan, Lombardia, Italy","1,085,728",,,,,,,,,,,,,,,,2024-05-07,Active,,,LEVELS S.R.L.,Milano,20146.0,Lombardia,,,,,620100.0,07/05/2024,,Attiva,S.R.L.
Empire,Private,"Automotive, E-Commerce, Manufacturing",11-50,"Venetico, Sicilia, Italy","1,710,251",15.0,,,,,,,,,,,,,,,2018-01-01,Active,,98040,EMPIRE TOWER S.R.L.,Milano,20123.0,Lombardia,,,,,620100.0,18/04/2024,,Attiva,S.R.L.
Quidow,Private,"Analytics, Market Research",1-10,"Milan, Lombardia, Italy","3,432,658",4.0,,,,,,,,,,,,,,,2018-01-01,Active,,20133,QUIDO S.R.L.,Milano,20121.0,Lombardia,,,,,620100.0,29/03/2024,,Attiva,S.R.L.
TOKY Digital,Private,"Advertising, Marketing, Online Portals",1-10,"Ravenna, Emilia-Romagna, Italy","246,657",1.0,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,,NJOY DIGITAL ITALIA S.R.L.,Milano,20019.0,Lombardia,,,,,620909.0,20/03/2024,,Attiva,S.R.L.
Freedome,Private,"E-Commerce, Leisure, Marketplace, Sports",11-50,"Legnano, Lombardia, Italy","46,366",8.0,,,8.0,1.0,"Growth Engine, Bios Line Holding, Ad Astra Ventures, Egg, Premiaweb",3386817.0,Series A,2674369.0,2674369.0,Early Stage Venture,3.0,"Manuel Siclari, Michele Mezzanzanica, Simone Ferlisi",3.0,,2019-05-09,Active,,20025,FREEDOM S.R.L.,Milano,20122.0,Lombardia,,,,,620909.0,12/03/2024,,Attiva,S.R.L.
Office Society,Private,"Coworking, Digital Media, Office Administration",,"Milan, Lombardia, Italy","3,088,992",,,,,,,,,,,,,,,,2021-01-01,Active,,,C. SOCIETY S.R.L.,Milano,20135.0,Lombardia,,,,,631200.0,07/03/2024,,Attiva,S.R.L.
Webora,Private,"Digital Marketing, E-Commerce, UX Design, Web Design",11-50,"Conversano, Puglia, Italy","1,332,476",11.0,,,,,,,,,,,,,,,2020-01-01,Active,,70014,WEEBORA S.R.L.,Milano,20149.0,Lombardia,,,,,620100.0,20/02/2024,,Attiva,S.R.L.
Samag Tech,Private,"Apps, Information Technology, Software",11-50,"Milan, Lombardia, Italy","1,853,832",12.0,,,,,,,,,,,,,,,2021-01-01,Active,$1M to $10M,20146,HAUMEA TECH S.R.L.,Milano,20122.0,Lombardia,,,,,721909.0,19/02/2024,,Attiva,S.R.L.
Memento Labs,Private,"Cyber Security, Information Technology, Intelligent Systems, Privacy",11-50,"Milan, Lombardia, Italy","445,140",6.0,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,20146,MEMENTO S.R.L.,Milano,20060.0,Lombardia,,,,,620100.0,18/01/2024,,Attiva,S.R.L.
BOOS Tech,Private,"Sales, Software",1-10,"Novara, Piemonte, Italy","3,113,815",9.0,,,,,,,,,,,,,,,2018-01-01,Active,Less than $1M,28100,BLOTECH S.R.L.,Milano,20125.0,Lombardia,,,,,620100.0,29/12/2023,,Attiva,S.R.L.
Aptadir Therapeutics,Private,"Biotechnology, Health Care, Medical",1-10,"Milan, Lombardia, Italy","60,807",10.0,,,3.0,1.0,"CDP Venture Capital, Evotec, Angelini Ventures",1600000.0,Pre-Seed,1600000.0,1600000.0,Seed,1.0,"Annalisa Di Ruscio, Daniel G. Tenen, Marcin Kortylewski, Vittorio de Franciscis",4.0,,2024-01-01,Active,,20121,APTADIR THERAPEUTICS S.R.L.,Milano,20121.0,Lombardia,,,,,721100.0,12/12/2023,,Attiva,S.R.L.
Train,Private,"Augmented Reality, Software, Web Apps",1-10,"Milan, Lombardia, Italy","1,258,011",8.0,,,,,,,,,,,,,,,2022-01-01,Active,,20135,TRAIN S.R.L.,Milano,20089.0,Lombardia,,,,,620100.0,31/10/2023,,Attiva,S.R.L.
AideXa,Private,Financial Services,51-100,"Milan, Lombardia, Italy","18,010",3.0,,,8.0,1.0,"360 Capital, Generali Group, Banca Ifis, Banca Sella, Gruppo Bertoldi",102483511.0,Venture - Series Unknown,17300383.0,17300383.0,,4.0,"Federico Sforza, Roberto Nicastro",2.0,,2020-01-01,Active,$10M to $50M,,AIDEA S.R.L.,Milano,20154.0,Lombardia,,,,,620100.0,12/10/2023,,Attiva,S.R.L.
Exxtra,Private,"Consulting, Financial Services, Insurance, Risk Management",1-10,"Milan, Lombardia, Italy","2,657,145",10.0,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,,EXTRA SRL,Milano,20124.0,Lombardia,,,,,620100.0,12/10/2023,,Attiva,S.R.L.
Wayla,Private,"Public Transportation, Translation Service",1-10,"Milan, Lombardia, Italy","205,519",,,,5.0,,"Moffu Labs, MobilityUP, Sullivan Ventures, Luca La Mesa, Marco Cartasegna",945315.0,Pre-Seed,945315.0,945315.0,Seed,2.0,,,,2023-01-01,Active,,20144,WAYLA S.R.L.,Milano,20144.0,Lombardia,,,,,522190.0,09/10/2023,,Attiva,S.R.L.
Biomedica Italia,Private,"Health Care, Medical, Medical Device",11-50,"Rozzano, Lombardia, Italy","1,279,538",17.0,,,,,,,,,,,,Oscar Rizzi,1.0,,2020-01-01,Active,$1M to $10M,,RALPHMED BIOMEDICA S.R.L.,Milano,20064.0,Lombardia,,,,,721100.0,12/09/2023,,Attiva,S.R.L.
Different Global,Private,"Advertising, Brand Marketing, Digital Marketing",101-250,"Milan, Lombardia, Italy","1,828,927",5.0,,,,,,,,,,,,Davide Arduini,1.0,,2020-01-01,Active,$1M to $10M,20141,DIFFERENT COMPANY S.R.L.,Milano,20124.0,Lombardia,,,,,711210.0,14/11/2022,,Attiva,S.R.L.
Be Italy,Private,"E-Commerce, Fashion, Manufacturing, Product Design, Retail",51-100,"Venice, Veneto, Italy","2,730,992",48.0,,,,,,,,,,,,,,,2021-01-01,Active,,30174,BEL S.R.L.,Monza e della Brianza,20864.0,Lombardia,,,,,466600.0,22/04/2024,,Attiva,S.R.L.
tmlab,Private,"Consulting, Training",11-50,"Roma, Lazio, Italy","1,880,877",5.0,Acquisition,,,,,,,,,M&A,,,,2022-04-29,2019-01-01,Active,,154,TLAB S.R.L.,Monza e della Brianza,20900.0,Lombardia,,,,,620100.0,10/10/2022,,Attiva,S.R.L.
Amo.Wine,Private,"E-Commerce, Retail, Wine And Spirits",1-10,"Imola, Emilia-Romagna, Italy","2,605,163",3.0,,,,,,,,,,,,,,,2019-03-26,Active,Less than $1M,,WINE CORPORATION S.R.L.,Latina,4017.0,Lazio,,,,,620100.0,04/04/2024,,Attiva,S.R.L.
Always Friday,Private,"Events, Marketplace, Software, Travel",1-10,"Milano, Lombardia, Italy","122,490",11.0,,,,,,55052.0,Angel,55052.0,55052.0,Seed,1.0,,,,2024-01-15,Active,,,ALWAYS FRIDAY S.R.L.,Latina,4100.0,Lazio,,,,,620100.0,15/01/2024,,Attiva,S.R.L.
Keplero AI,Private,"Artificial Intelligence (AI), Service Industry",1-10,"Latina, Lazio, Italy","57,240",10.0,,,2.0,,"40Jemz Ventures, Orange Palestre Torino",434468.0,Seed,434468.0,434468.0,Seed,1.0,Giovanni Davalli,1.0,,2023-01-01,Active,,,KEPLERO AI S.R.L.,Latina,4014.0,Lazio,,,,,620100.0,11/10/2023,,Attiva,S.R.L.
Follia,Private,"E-Commerce, Fashion, Men's, Women's",1-10,"Bari, Puglia, Italy","3,570,812",14.0,,,,,,,,,,,,,,,2021-01-01,Active,,70126,FOLIA S.R.L.,Lecce,73100.0,Puglia,,,,,620200.0,24/06/2024,,Attiva,S.R.L.
BeadRoots,Private,"AgTech, Manufacturing",1-10,"Lecce, Puglia, Italy","276,108",,,,1.0,,Eatable Adventures,,Pre-Seed,,,Seed,1.0,"Angela Bonato, Valerio De Luca",2.0,,2023-12-07,Active,,73100,BEADROOTS S.R.L.,Lecce,73100.0,Puglia,,,,,721100.0,07/12/2023,,Attiva,S.R.L.
Value4BIZ,Private,"Business Development, Compliance, Data Governance, Financial Services, Management Consulting",11-50,"Torino, Piemonte, Italy","1,338,871",9.0,,,,,,,,,,,,,,,2018-01-01,Active,$1M to $10M,10131,VALUE4BIKE S.R.L.,Lecco,23900.0,Lombardia,,,,,620200.0,10/11/2023,,Attiva,S.R.L.
Arkad,Private,"Energy, Energy Management, Project Management",251-500,"Milano, Lombardia, Italy","1,874,532",11.0,,,,,,,,,,,,,,,2018-01-01,Active,$50M to $100M,20124,ARKADIA SRL,Imperia,18100.0,Liguria,,,,,721909.0,10/06/2024,,Attiva,S.R.L.
Neowintech,Private,"Credit, Financial Services, Marketplace, Payments",101-250,"Rome, Lazio, Italy","3,273,651",1.0,,,,,,,,,,,,,,,2020-01-01,Active,,,KNOWTECH S.R.L.,Genova,16121.0,Liguria,,,,,620100.0,19/04/2024,,Attiva,S.R.L.
Tender,Private,"Beauty, Delivery Service, Fashion, Same Day Delivery",11-50,"Roma, Lazio, Italy","692,798",9.0,,,,,,,,,,,,Filippo Maria Capitanio,1.0,,2020-01-01,Active,,187,TENDERTEE S.R.L.,Genova,16128.0,Liguria,,,,,309220.0,12/09/2022,,Attiva,S.R.L.
Aurealink,Private,"Consulting, Information Technology, Software",1-10,"Roma, Lazio, Italy","3,008,510",9.0,,,,,,,,,,,,"Daniele Ramacci, Marco R.",2.0,,2021-01-01,Active,,,AUREAL SRL,Forlì-Cesena,47042.0,Emilia-Romagna,,,,,702209.0,05/09/2024,,Attiva,S.R.L.
IRIDEOS SpA,Private,Telecommunications,251-500,"Milano, Lombardia, Italy","255,265",,Acquisition,,,,,,,,,M&A,,,,2022-07-18,2018-01-01,Closed,$1M to $10M,20121,IRIDE SRL,Forlì-Cesena,47042.0,Emilia-Romagna,,,,,620100.0,25/06/2024,,Attiva,S.R.L.
XPChain,Private,"Bitcoin, Cryptocurrency, Virtual Currency",1-10,"Riva Del Garda, Trentino-Alto Adige, Italy","3,187,117",3.0,,,,,,,,,,,,,,,2019-01-01,Active,,38066,CHAIN S.R.L.,Foggia,71122.0,Puglia,,,,,620100.0,22/10/2024,,Attiva,S.R.L.
IKit,Private,"Manufacturing, Medical Device, Quality Assurance",11-50,"Roma, Lazio, Italy","2,332,446",10.0,,,,,,,,,,,,,,,2018-01-01,Active,,60,QUIKIT S.R.L.,Cremona,26010.0,Lombardia,,,,,620100.0,29/11/2024,,Attiva,S.R.L.
Acqua del Lario,Private,"E-Commerce, Gift, Home Decor",1-10,"Torno, Lombardia, Italy","3,378,952",3.0,,,,,,,,,,,,,,,2019-12-02,Active,Less than $1M,22020,ACQUALAI S.R.L.,Cremona,26100.0,Lombardia,,,,,204200.0,07/03/2024,,Attiva,S.R.L.
Gard Consulting,Private,"Biotechnology, Consulting, Industrial, Manufacturing",1-10,"Ivrea, Piemonte, Italy","2,122,724",15.0,,,,,,,,,,,,,,,2018-01-01,Active,$1M to $10M,,RDL CONSULTING S.R.L.,Caltanissetta,93010.0,Sicilia,,,,,702209.0,27/07/2021,,Attiva,S.R.L.
GAMS Platform,Private,"E-Learning, Human Resources, Software",11-50,"Rome, Lazio, Italy","2,720,798",3.0,,,,,,,,,,M&A,,Riccardo Guggiola,1.0,2024-03-05,2018-12-03,Active,,149,PLATFORM S.R.L.,Caserta,81100.0,Campania,,,,,289920.0,12/12/2023,,Attiva,S.R.L.
RADI,Private,"Commercial, Janitorial Service, Rehabilitation",11-50,"Milan, Lombardia, Italy","3,033,643",5.0,,,,,,,,,,,,,,,2018-01-01,Active,$1M to $10M,20124,RADICI S.R.L.,Caserta,81100.0,Campania,,,,,631200.0,26/06/2023,,Attiva,S.R.L.
Surge,Private,"Data Management, Information Technology, Supply Chain Management",11-50,"Bologna, Emilia-Romagna, Italy","1,944,300",10.0,,,,,,,,,,,,,,,2018-01-01,Active,,40138,SURGEX ITALIA S.R.L.,Cagliari,9028.0,Sardegna,,,,,620200.0,12/06/2024,,Attiva,S.R.L.
ISI,Private,"Artificial Intelligence (AI), Consulting, Energy Management, Project Management",,"Naples, Campania, Italy","1,891,092",10.0,,,,,,,,,,,,,,,2021-05-12,Active,,,EISI SRL,Bolzano/Bozen,39100.0,Trentino-Alto Adige/Südtirol,,,,,620100.0,27/05/2024,,Attiva,S.R.L.
Soource,Private,"Manufacturing, Software, Supply Chain Management",1-10,"Bozen, Trentino-Alto Adige, Italy","24,799",,,,5.0,1.0,"360 Capital, Vento, Simon Fiduciaria, B Heroes, Vesper Holding",1889558.0,Pre-Seed,1561043.0,1561043.0,Seed,2.0,Maicol Verzotto,1.0,,2023-01-01,Active,,39100,SOOURCE SRL,Bolzano/Bozen,39100.0,Trentino-Alto Adige/Südtirol,,,,,620100.0,12/01/2024,,Attiva,S.R.L.
Runtheons,Private,"Artificial Intelligence (AI), Fitness, Sports, Wellness",1-10,"Brescia, Lombardia, Italy","20,863",,,,2.0,,"IKIGAI, Business Angels",103906.0,Pre-Seed,103906.0,103906.0,Seed,1.0,,,,2023-10-12,Active,$1M to $10M,,RUNTHEONS S.R.L.,Brescia,25087.0,Lombardia,,,,,620100.0,12/10/2023,,Attiva,S.R.L.
Homeero Building,Private,"Home Services, Information Technology, Professional Services",1-10,"Turin, Piemonte, Italy","1,544,923",4.0,,,,,,,,,,,,,,,2019-10-31,Active,Less than $1M,10128,E-BUILDING SRL,Bologna,40017.0,Emilia-Romagna,,,,,620100.0,10/12/2024,,Attiva,S.R.L.
